=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.24 20:15:09 =~=~=~=~=~=~=~=~=~=~=~=
163853 33.87 98277.02 46.04 83306.22 0
164103 33.79 98278.09 46.01 4029513.00 1
165353 33.34 98277.21 45.89 3642507.75 2
169601 33.21 98275.70 46.14 5170085.00 3
170351 33.44 98273.20 46.18 395672.34 4
171100 33.57 98272.02 46.20 363765.53 5
171850 33.61 98269.81 46.15 341561.03 6
172350 33.70 98267.91 46.14 72789.31 7
173100 33.79 98270.98 46.11 77062.01 8
173849 33.83 98273.88 46.06 80250.78 9
174599 33.86 98274.52 46.00 82821.09 0
174849 33.78 98276.19 45.97 3925251.50 1
176099 33.33 98273.84 45.84 3608810.50 2
180347 33.20 98274.48 46.05 5078735.50 3
181097 33.43 98274.22 46.12 392262.03 4
181847 33.55 98274.15 46.12 355432.16 5
182596 33.60 98272.77 46.11 338512.41 6
183096 33.69 98275.26 46.08 71748.88 7
183846 33.77 98275.63 46.05 76099.88 8
184596 33.82 98277.31 46.00 79429.10 9
185345 33.84 98279.12 45.94 81089.64 0
185595 33.76 98279.03 45.92 3905602.00 1
187095 33.32 98278.34 45.82 3547856.25 2
191093 33.19 98278.04 45.98 5050555.00 3
191843 33.41 98279.40 46.07 387585.16 4
192592 33.54 98278.88 46.09 352495.69 5
193342 33.59 98277.48 46.06 334531.19 6
194092 33.66 98276.05 46.01 71388.73 7
194592 33.76 98276.86 46.02 75694.85 8
195341 33.80 98275.64 45.96 78769.23 9
196091 33.83 98275.95 45.93 81012.66 0
196341 33.75 98277.60 45.83 3810232.50 1
197841 33.30 98274.30 45.78 3488926.75 2
202089 33.18 98274.24 45.96 4995122.00 3
202588 33.39 98274.80 46.06 384962.41 4
203338 33.52 98274.65 46.01 349607.38 5
204088 33.57 98273.23 46.00 334531.19 6
204838 33.66 98274.95 46.00 70679.18 7
205338 33.75 98274.93 45.92 74700.91 8
206087 33.79 98277.81 45.89 77835.21 9
206837 33.81 98276.41 45.85 80100.13 0
207087 33.73 98275.45 45.80 3742348.00 1
208587 33.29 98275.95 45.73 3457999.25 2
212835 33.16 98273.17 45.91 4976913.50 3
213335 33.38 98272.12 45.96 381733.47 4
214084 33.51 98271.50 45.98 346414.06 5
214834 33.55 98268.60 45.98 326843.28 6
215584 33.64 98271.26 45.93 69584.13 7
216333 33.73 98273.98 45.91 73924.34 8
216833 33.77 98275.45 45.82 76992.48 9
217583 33.80 98274.70 45.77 79577.24 0
217833 33.72 98274.08 45.77 3699255.00 1
219332 33.27 98276.30 45.65 3449263.25 2
223580 33.14 98288.22 45.81 4896593.00 3
224330 33.37 98287.25 45.93 366893.59 4
224830 33.49 98285.13 45.94 342589.50 5
225580 33.54 98278.84 45.86 324358.56 6
226330 33.63 98272.90 45.90 69470.83 7
227079 33.71 98277.69 45.85 73924.34 8
227829 33.76 98281.25 45.84 76577.92 9
228329 33.79 98280.28 45.76 78769.23 0
228579 33.71 98279.75 45.71 3657142.75 1
230078 33.26 98273.40 45.62 3393537.75 2
234326 33.12 98273.89 45.82 4879094.50 3
235076 33.34 98274.09 45.84 366499.66 4
235576 33.48 98274.71 45.87 339860.59 5
236325 33.52 98272.81 45.85 322215.22 6
237075 33.61 98274.41 45.83 69077.17 7
237825 33.70 98277.66 45.76 72913.70 8
238575 33.74 98279.42 45.75 76099.88 9
239074 33.77 98279.72 45.70 77906.27 0
239574 33.68 98279.81 45.65 3557099.50 1
240824 33.24 98271.05 45.56 3360131.25 2
245072 33.11 98270.18 45.76 4827342.50 3
245822 33.33 98269.40 45.82 363378.28 4
246571 33.46 98264.95 45.81 336842.09 5
247071 33.51 98262.29 45.80 320400.50 6
247821 33.60 98263.90 45.74 67922.52 7
248571 33.68 98269.93 45.74 72357.27 8
249320 33.73 98273.59 45.70 75029.30 9
250070 33.75 98275.04 45.68 77062.01 0
250320 33.67 98277.13 45.60 3513617.75 1
251569 33.23 98275.97 45.49 3341627.50 2
255818 33.10 98266.78 45.71 4801875.50 3
256567 33.32 98270.60 45.77 357666.78 4
257317 33.45 98271.53 45.77 334859.38 5
257817 33.49 98268.84 45.76 314496.31 6
258567 33.58 98270.59 45.73 67599.68 7
259316 33.66 98269.98 45.68 71448.51 8
260066 33.71 98270.35 45.70 74700.91 9
260816 33.73 98270.73 45.64 76509.27 0
261066 33.66 98272.20 45.58 3460190.00 1
262316 33.21 98272.27 45.48 3319286.75 2
266564 33.08 98267.70 45.70 4751740.00 3
267314 33.30 98269.27 45.73 355802.66 4
268063 33.43 98271.46 45.73 329684.47 5
268813 33.47 98271.65 45.70 314496.31 6
269313 33.56 98271.82 45.70 67068.38 7
270063 33.65 98271.31 45.64 71269.48 8
270812 33.70 98270.50 45.58 73796.48 9
271562 33.72 98270.16 45.54 75627.77 0
271812 33.64 98269.46 45.51 3421173.50 1
273061 33.20 98268.70 45.42 3281394.00 2
277310 33.07 98266.56 45.61 4706693.50 3
278059 33.29 98267.73 45.68 355802.66 4
278809 33.41 98267.13 45.73 325907.06 5
279559 33.46 98267.45 45.65 309365.56 6
280059 33.54 98265.64 45.66 67226.89 7
280808 33.63 98264.76 45.59 70679.18 8
281558 33.68 98264.75 45.58 73289.44 9
282308 33.70 98266.30 45.51 75161.48 0
282558 33.63 98268.08 45.49 3385124.00 1
284057 33.18 98266.32 45.39 3265696.75 2
288055 33.05 98263.23 45.59 4670467.50 3
288805 33.27 98265.44 45.62 351407.00 4
289555 33.39 98265.93 45.63 324976.19 5
290304 33.44 98266.12 45.60 308805.78 6
291054 33.52 98265.85 45.57 66338.43 7
291554 33.62 98265.23 45.57 69811.84 8
292303 33.65 98264.75 45.53 72727.27 9
293053 33.69 98265.85 45.46 74700.91 0
