=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.22 01:50:13 =~=~=~=~=~=~=~=~=~=~=~=
6429918 29.44 98672.66 27.47 102400000.00 3
6430668 29.66 98672.73 27.56 6675086.50 4
6431167 29.79 98674.55 27.61 6427618.50 5
6431917 29.83 98674.76 27.60 6233213.00 6
6432667 29.90 98674.88 27.60 692828.13 7
6433417 29.99 98677.73 27.58 736955.75 8
6434167 30.03 98677.92 27.56 757536.50 9
6434666 30.05 98678.94 27.58 777820.00 0
6434916 29.98 98679.04 27.41 102400000.00 1
6436416 29.54 98682.86 27.45 102400000.00 2
6440664 29.41 98691.02 27.61 102400000.00 3
6441413 29.63 98693.41 27.57 6876810.00 4
6441913 29.75 98694.27 27.63 6488713.00 5
6442663 29.81 98696.41 27.58 6341784.50 6
6443413 29.88 98695.09 27.64 702091.19 7
6444162 29.96 98696.70 27.62 738550.31 8
6444912 30.00 98698.90 27.60 770794.13 9
6445412 30.02 98698.77 27.59 787692.31 0
6445662 29.94 98699.06 27.68 102400000.00 1
6447161 29.51 98699.92 27.56 102400000.00 2
6451409 29.38 98707.22 27.52 102400000.00 3
6452159 29.60 98710.15 27.61 6964506.00 4
6452659 29.72 98711.07 27.60 6732689.50 5
6453409 29.77 98713.36 27.62 6484860.50 6
6454159 29.85 98716.00 27.61 711605.31 7
6454908 29.93 98719.82 27.62 741760.25 8
6455658 29.97 98719.55 27.62 787692.31 9
6456158 29.99 98720.65 27.58 807252.69 0
6456408 29.92 98722.92 27.37 102400000.00 1
6457907 29.48 98721.98 27.61 102400000.00 2
6462156 29.35 98727.41 27.67 102400000.00 3
6462905 29.57 98726.26 27.63 7203341.50 4
6463405 29.70 98726.27 27.61 6894172.00 5
6464155 29.74 98726.30 27.63 6671010.00 6
6464905 29.82 98726.22 27.64 722143.88 7
6465654 29.90 98726.27 27.66 765607.50 8
6466404 29.95 98727.78 27.64 792723.06 9
6466904 29.96 98729.70 27.62 813990.44 0
6467154 29.89 98729.02 27.57 102400000.00 1
6468653 29.46 98730.92 27.45 102400000.00 2
6472901 29.32 98739.66 27.47 102400000.00 3
6473651 29.56 98742.60 27.63 7299621.50 4
6474151 29.67 98742.65 27.67 6968949.50 5
6474900 29.72 98746.64 27.64 6820982.50 6
6475650 29.80 98748.84 27.64 737752.19 7
6476400 29.88 98750.31 27.69 782725.00 8
6477150 29.92 98751.97 27.64 802979.81 9
6477649 29.95 98753.28 27.63 831337.50 0
6477899 29.87 98753.48 27.78 102400000.00 1
6479399 29.43 98754.62 27.47 102400000.00 2
6483647 29.30 98763.73 27.54 102400000.00 3
6484397 29.53 98767.64 27.64 7358634.50 4
6484896 29.64 98767.64 27.71 7179667.00 5
6485646 29.69 98770.75 27.69 6898526.50 6
6486396 29.77 98771.48 27.67 744186.06 7
6487146 29.85 98771.70 27.66 789971.06 8
6487895 29.90 98773.85 27.68 817401.69 9
6488395 29.92 98775.93 27.64 833367.25 0
6488645 29.84 98776.95 27.57 102400000.00 1
6490145 29.42 98778.73 27.69 102400000.00 2
6494393 29.28 98780.45 27.53 102400000.00 3
6495142 29.50 98785.01 27.66 7531142.50 4
6495642 29.63 98788.07 27.68 7285015.50 5
6496392 29.68 98791.02 27.69 7000213.50 6
6497142 29.75 98791.83 27.70 742567.06 7
6497891 29.83 98793.41 27.71 798751.94 8
6498391 29.88 98794.73 27.69 832351.13 9
6499141 29.90 98794.91 27.67 849968.88 0
6499391 29.82 98793.38 27.59 102400000.00 1
6500890 29.39 98792.05 27.46 102400000.00 2
6505138 29.26 98796.42 27.68 102400000.00 3
6505888 29.48 98797.85 27.70 7755739.50 4
6506388 29.60 98798.98 27.68 7428701.00 5
6507138 29.65 98800.20 27.71 7146783.00 6
6507887 29.73 98800.05 27.68 755023.06 7
6508637 29.80 98800.98 27.72 806775.63 8
6509137 29.85 98803.63 27.70 838485.19 9
6509887 29.87 98804.88 27.67 857980.75 0
6510137 29.80 98806.22 27.65 102400000.00 1
6511636 29.37 98803.70 27.58 102400000.00 2
6515884 29.24 98810.88 27.65 102400000.00 3
6516634 29.46 98811.69 27.69 7873138.00 4
6517134 29.58 98813.30 27.70 7520771.00 5
6517884 29.63 98816.74 27.76 7314285.50 6
6518633 29.71 98818.72 27.71 770794.13 7
6519383 29.78 98821.41 27.71 812053.94 8
6519883 29.83 98825.60 27.70 848911.94 9
6520633 29.86 98827.51 27.69 857441.94 0
6520883 29.78 98824.75 27.77 102400000.00 1
6522382 29.35 98824.56 27.72 102400000.00 2
6526630 29.22 98829.56 27.48 102400000.00 3
6527130 29.45 98832.92 27.69 7947611.00 4
6527880 29.57 98833.91 27.71 7604548.50 5
6528629 29.61 98832.94 27.72 7428701.00 6
6529379 29.69 98836.43 27.72 776051.56 7
6530129 29.77 98838.59 27.70 824808.69 8
6530629 29.82 98839.32 27.71 858520.25 9
6531379 29.84 98838.05 27.66 876149.75 0
6531629 29.75 98836.87 27.53 102400000.00 1
6533128 29.33 98837.34 27.52 102400000.00 2
6537376 29.21 98841.91 27.54 102400000.00 3
6537876 29.43 98845.20 27.66 8094861.50 4
6538626 29.55 98846.85 27.71 7733774.00 5
6539375 29.59 98846.55 27.71 7531142.50 6
6540125 29.66 98848.58 27.70 781828.56 7
6540875 29.75 98848.23 27.72 834896.06 8
6541375 29.80 98853.57 27.68 863406.44 9
6542125 29.82 98852.38 27.71 888117.94 0
6542374 29.74 98851.25 27.79 102400000.00 1
6543874 29.31 98850.28 27.46 102400000.00 2
6548122 29.20 98856.52 27.61 102400000.00 3
6548622 29.41 98857.28 27.71 8155301.00 4
6549372 29.54 98859.87 27.72 7930300.00 5
6550122 29.58 98859.53 27.75 7631113.00 6
6550871 29.65 98863.66 27.73 799687.63 7
6551621 29.73 98863.70 27.72 836943.19 8
6552121 29.77 98863.59 27.72 871674.81 9
6552870 29.80 98868.03 27.70 898048.69 0
6553120 29.73 98867.18 27.59 102400000.00 1
6554620 29.30 98865.91 27.67 102400000.00 2
6558868 29.17 98874.06 27.62 102400000.00 3
6559368 29.40 98875.15 27.72 8285208.50 4
6560118 29.52 98875.36 27.72 8000000.00 5
6560867 29.56 98877.27 27.76 7684803.00 6
6561617 29.64 98878.40 27.74 804399.06 7
6562367 29.72 98880.84 27.75 853689.06 8
6562866 29.76 98879.23 27.73 873906.56 9
6563616 29.79 98879.95 27.73 901011.88 0
6563866 29.71 98879.98 27.71 102400000.00 1
6565366 29.29 98883.94 27.86 102400000.00 2
6569614 29.15 98886.47 27.72 102400000.00 3
6570114 29.38 98886.61 27.74 8471562.00 4
6570863 29.50 98887.89 27.75 8064976.50 5
6571613 29.55 98889.09 27.74 7839234.50 6
6572363 29.62 98890.80 27.77 799687.63 7
6573113 29.71 98894.09 27.75 859060.38 8
6573612 29.75 98893.30 27.72 890434.81 9
6574362 29.77 98893.48 27.70 919829.31 0
6574612 29.69 98892.70 27.53 102400000.00 1
6576111 29.27 98894.65 27.69 102400000.00 2
6580360 29.15 98899.46 27.76 102400000.00 3
6580859 29.37 98901.37 27.77 8618622.00 4
6581609 29.50 98900.23 27.77 8272658.50 5
6582359 29.54 98901.27 27.77 7964997.50 6
6583109 29.61 98901.50 27.78 821335.50 7
6583858 29.69 98902.16 27.78 863406.44 8
6584358 29.73 98903.55 27.76 901011.88 9
6585108 29.75 98903.27 27.77 919210.06 0
6585358 29.68 98903.30 27.79 102400000.00 1
6586857 29.27 98909.55 27.83 102400000.00 2
6591105 29.12 98910.06 27.70 102400000.00 3
6591605 29.36 98914.95 27.79 8680265.00 4
6592355 29.48 98915.29 27.79 8316751.50 5
6593105 29.52 98918.57 27.76 8029404.50 6
6593854 29.60 98919.01 27.80 825307.25 7
6594604 29.68 98918.28 27.79 872231.69 8
6595104 29.72 98919.17 27.81 902202.63 9
6595854 29.75 98919.20 27.78 921692.19 0
6596104 29.67 98920.30 27.79 102400000.00 1
6597603 29.25 98920.94 27.71 102400000.00 2
6601851 29.12 98922.52 27.72 102400000.00 3
6602351 29.34 98927.12 27.77 8806235.00 4
6603101 29.46 98928.16 27.80 8438836.00 5
6603850 29.51 98929.42 27.81 8143141.00 6
6604600 29.58 98931.69 27.82 827307.63 7
6605350 29.66 98929.28 27.78 877839.69 8
6605850 29.71 98928.82 27.78 910020.00 9
6606599 29.73 98927.80 27.75 931756.13 0
6606849 29.66 98930.27 27.91 102400000.00 1
6608349 29.23 98926.67 27.65 102400000.00 2
6612597 29.10 98929.72 27.64 102400000.00 3
6613097 29.34 98935.05 27.79 8921318.00 4
