=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.12.06 15:19:03 =~=~=~=~=~=~=~=~=~=~=~=
1233696 29.38 100210.39 10.66 90895976.00 3
1234196 29.57 100209.34 10.73 4827342.50 4
1234946 29.71 100209.65 10.71 4690524.00 5
1235695 29.75 100208.78 10.72 4615211.50 6
1236445 29.84 100208.00 10.73 463663.13 7
1237195 29.93 100208.38 10.72 479288.56 8
1237695 29.98 100208.29 10.74 492781.53 9
1238444 30.01 100210.41 10.72 500366.47 0
1238694 29.95 100208.84 10.72 102400000.00 1
1240194 29.51 100210.04 10.68 97596424.00 2
1244442 29.39 100209.85 10.69 90332184.00 3
1244942 29.59 100207.83 10.71 4806101.50 4
1245691 29.73 100208.63 10.71 4698595.00 5
1246441 29.78 100208.68 10.72 4615211.50 6
1247191 29.86 100207.32 10.73 462093.88 7
1247940 29.95 100208.95 10.72 474623.41 8
1248440 30.00 100209.84 10.74 488899.50 9
1249190 30.03 100207.34 10.74 494925.09 0
1249440 29.96 100208.73 10.71 102400000.00 1
1250940 29.53 100210.85 10.65 98476336.00 2
1255188 29.40 100208.27 10.69 89775344.00 3
1255687 29.61 100207.56 10.70 4772502.00 4
1256437 29.74 100205.78 10.72 4682480.50 5
1257187 29.79 100207.48 10.73 4584219.50 6
1257937 29.88 100207.32 10.71 463348.41 7
1258686 29.96 100206.55 10.70 478616.50 8
1259186 30.02 100207.70 10.72 489600.75 9
1259936 30.04 100205.38 10.73 497449.59 0
1260186 29.97 100207.15 10.71 102400000.00 1
1261685 29.54 100209.81 10.67 97596424.00 2
1265934 29.41 100207.77 10.66 89775344.00 3
1266433 29.62 100206.55 10.69 4755878.00 4
1267183 29.75 100207.33 10.74 4694556.00 5
1267933 29.80 100207.13 10.72 4591928.50 6
1268683 29.89 100205.02 10.71 460224.72 7
1269432 29.98 100206.20 10.73 477278.03 8
1269932 30.02 100204.52 10.71 486807.69 9
1270682 30.05 100206.30 10.73 496003.88 0
1270932 29.99 100207.54 10.71 102400000.00 1
1272431 29.55 100206.66 10.67 96411920.00 2
1276679 29.43 100206.49 10.66 89775344.00 3
1277179 29.63 100204.80 10.69 4780858.00 4
1277929 29.76 100204.19 10.69 4666477.00 5
1278679 29.81 100204.35 10.71 4588070.50 6
1279428 29.89 100201.15 10.71 457449.19 7
1280178 29.99 100204.32 10.74 474293.66 8
1280678 30.03 100204.02 10.70 486114.41 9
1281428 30.05 100204.38 10.72 494925.09 0
1281678 29.99 100205.23 10.72 102400000.00 1
1283177 29.56 100202.85 10.64 95988280.00 2
1287425 29.43 100205.70 10.68 89867672.00 3
1287925 29.64 100205.23 10.67 4727063.00 4
1288674 29.76 100202.95 10.71 4662493.00 5
1289424 29.82 100203.98 10.70 4568879.00 6
1290174 29.90 100205.05 10.73 459295.81 7
1290924 29.99 100205.09 10.72 477278.03 8
1291423 30.04 100205.93 10.76 485768.50 9
1292173 30.06 100205.28 10.70 494566.53 0
1292423 30.00 100206.60 10.70 102400000.00 1
1293922 29.56 100204.63 10.64 96411920.00 2
