=~=~=~=~=~=~=~=~=~=~=~= KiTTY log 2024.12.06 15:32:59 =~=~=~=~=~=~=~=~=~=~=~=
153828 29.00 101380.64 31.27 1778549.75 2
153828 29.00 101380.64 31.27 1778549.75 2
153828 29.00 101380.64 31.27 1778549.75 2
153828 29.00 101380.64 31.27 1778549.75 2
157826 28.89 101386.59 31.27 1605015.63 3
158576 29.08 101387.27 31.35 211046.98 4
159326 29.20 101388.86 31.35 205087.13 5
160076 29.24 101388.38 31.31 199338.14 6
161326 29.40 101389.73 31.32 39275.85 8
162076 29.45 101388.42 31.31 40429.56 9
163076 29.42 101391.43 31.24 1948620.38 1
164575 29.04 101394.73 31.14 1812790.50 2
164575 29.04 101394.73 31.14 1812790.50 2
164575 29.04 101394.73 31.14 1812790.50 2
168574 28.92 101394.99 31.16 1639711.75 3
169324 29.12 101396.23 31.21 212492.22 4
170073 29.23 101397.07 31.19 207961.00 5
170823 29.27 101398.42 31.21 203255.27 6
171573 29.35 101398.74 31.20 37613.87 7
172073 29.43 101387.55 31.18 39751.55 8
173573 29.50 101384.53 31.13 42022.32 0
173823 29.44 101386.68 31.09 1971126.13 1
175322 29.06 101388.72 31.03 1835948.00 2
175322 29.06 101388.72 31.03 1835948.00 2
175322 29.06 101388.72 31.03 1835948.00 2
179321 28.96 101401.24 31.02 1657628.50 3
180071 29.14 101401.45 31.08 217225.28 4
180820 29.26 101401.82 31.10 212360.02 5
181570 29.30 101402.72 31.08 205457.47 6
182070 29.38 101402.80 31.08 38016.04 7
183570 29.51 101401.74 31.05 41410.55 9
184570 29.48 101404.73 30.99 1995615.13 1
185819 29.09 101403.42 30.87 1864784.88 2
185819 29.09 101403.42 30.87 1864784.88 2
185819 29.09 101403.42 30.87 1864784.88 2
185819 29.09 101403.42 30.87 1864784.88 2
190068 28.98 101405.39 30.93 1692562.00 3
190818 29.17 101406.09 30.94 218616.56 4
191568 29.29 101407.19 30.98 212227.98 5
192068 29.33 101404.47 30.96 207581.59 6
