=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.24 22:56:26 =~=~=~=~=~=~=~=~=~=~=~=
2423 31.17 98171.63 53.36 617611.56 1
3922 31.39 98173.46 53.65 570632.50 2
7920 31.59 98176.33 52.76 506304.09 3
8670 31.78 98170.70 52.35 99378.88 4
9420 31.99 98173.21 51.96 101506.74 5
10170 32.07 98166.30 51.52 103350.83 6
10919 32.11 98173.41 51.14 38117.93 7
11419 32.28 98173.99 51153 32.72 98161.41 41.80 3372581.25 3
51903 32.96 98160.64 41.80 421312.50 4
52403 33.10 98164.20 41.75 408945.69 5
53152 33.16 98164.17 41.72 400782.78 6
53902 33.24 98165.20 41.58 91723.40 7
54652 33.34 98163.35 41.44 98461.54 8
55402 33.39 98162.02 41.33 103476.15 9
55901 33.43 98163.50 41.25 108062.48 0
56401 33.36 98164.02 41.18 5229492.50 1
57651 32.94 98164.07 40.82 4678469.50 2
61899 32.86 98158.16 40.29 3716878.50 3
62649 33.10 98160.07 40.35 452896.94 4
63398 33.24 98159.91 40.35 439768.09 5
63898 33.29 98159.86 40.42 426577.78 6
64648 33.38 98157.52 40.47 90651.55 7
65398 33.47 98157.57 40.52 90941.38 8
66147 33.53 98157.01 40.58 89416.70 9
66647 33.56 98158.31 40.65 89229.70 0
67147 33.48 98159.35 40.61 3721944.50 1
68396 33.06 98159.52 40.53 3311236.75 2
72645 32.98 98157.34 40.67 2509035.25 3
73394 33.21 98158.23 40.76 341561.03 4
74144 33.34 98155.74 40.83 337174.84 5
74644 33.39 98153.59 40.85 329684.47 6
75394 33.48 98153.59 40.96 83143.88 7
76143 33.57 98154.64 40.99 88123.92 8
76893 33.63 98155.34 41.02 91233.07 9
77643 33.66 98153.53 41.08 93807.26 0
77893 33.58 98154.02 41.06 3959400.75 1
79142 33.17 98154.18 41.12 3497865.00 2
83390 33.07 98151.16 41.83 2529956.75 3
84140 33.30 98148.97 41.96 338512.41 4
84890 33.43 98149.59 42.07 333224.88 5
85639 33.48 98148.70 42.14 326843.28 6
86139 33.57 98149.42 42.23 79875.20 7
86889 33.66 98148.30 42.31 81476.77 8
87639 33.71 98147.88 42.32 82740.79 9
88388 33.74 98151.04 42.40 82500.80 0
88638 33.67 98151.80 42.38 3246285.00 1
89888 33.25 98151.83 42.44 2802600.00 2
94136 33.14 98150.89 43.06 1998536.25 3
94886 33.37 98150.60 43.19 285316.25 4
95636 33.50 98150.82 43.29 280855.72 5
96385 33.56 98153.62 43.35 276981.34 6
96885 33.64 98153.98 43.43 69754.77 7
97635 33.74 98156.05 43.47 71930.32 8
98385 33.79 98156.91 43.50 71869.73 9
99134 33.81 98154.63 43.51 72418.67 0
99384 33.74 98155.55 43.48 2486191.25 1
100884 33.30 98154.13 43.54 2178723.50 2
104882 33.20 98158.72 44.13 1536384.13 3
105632 33.43 98155.77 44.23 233576.64 4
106381 33.56 98157.26 44.29 230890.64 5
107131 33.62 98157.05 44.34 228724.59 6
107881 33.70 98159.55 44.39 60420.11 7
108380 33.79 98160.60 44.43 62775.87 8
109130 33.84 98161.54 44.41 63665.75 9
109880 33.87 98161.84 44.47 63523.57 0
110130 33.80 98163.29 44.44 1979700.38 1
111629 33.36 98157.80 44.47 1720285.63 2
115627 33.25 98159.08 44.97 1199414.38 3
116377 33.48 98157.07 45.08 195793.50 4
117127 33.61 98158.79 45.16 194787.91 5
117877 33.66 98157.46 45.16 192372.72 6
118626 33.75 98158.16 45.21 53590.12 7
119126 33.84 98157.47 45.24 55870.80 8
119876 33.89 98157.38 45.26 56462.29 9
120626 33.92 98158.34 45.22 56952.17 0
120876 33.84 98159.70 45.20 1623142.50 1
122375 33.41 98153.98 45.23 1385656.25 2
126623 33.30 98160.48 45.62 978499.75 3
127123 33.53 98158.11 45.76 165803.11 4
127873 33.66 98160.21 45.82 165161.30 5
128623 33.72 98160.41 45.85 163421.64 6
129372 33.80 98156.02 45.86 48229.09 7
130122 33.89 98156.75 45.86 49660.52 8
130622 33.93 98157.90 45.89 50632.91 9
131372 33.96 98155.17 45.90 51210.24 0
131622 33.88 98157.32 45.84 1350033.00 1
133121 33.45 98154.55 45.79 1163636.38 2
137369 33.34 98150.10 46.22 817401.69 3
137869 33.56 98149.62 46.33 146077.03 4
138619 33.70 98153.16 46.39 146077.03 5
139369 33.75 98155.34 46.39 144103.58 6
140118 33.84 98156.52 46.41 42953.02 7
140868 33.92 98154.22 46.39 44708.35 8
141368 33.97 98153.02 46.36 45373.98 9
142118 33.99 98151.89 46.39 45960.50 0
142368 33.92 98155.19 46.35 1148948.13 1
143867 33.48 98154.80 46.33 990568.31 2
148115 33.37 98158.33 46.71 697072.81 3
148865 33.60 98158.02 46.78 130445.86 4
149365 33.74 98158.38 46.85 129653.08 5
150115 33.78 98158.83 46.84 129260.29 6
150864 33.87 98161.40 46.85 39384.62 7
151614 33.95 98160.71 46.84 41051.96 8
152364 34.00 98156.26 46.84 41980.98 9
152864 34.03 98156.02 46.83 42567.34 0
153114 33.95 98157.72 46.80 994899.19 1
154613 33.52 98156.22 46.73 858520.25 2
158861 33.39 98159.10 47.05 606635.06 3
159611 33.63 98160.21 47.17 117512.05 4
160110 33.77 98162.25 47.22 117755.29 5
160860 33.82 98162.90 47.25 116948.38 6
161610 33.89 98160.39 47.24 36707.77 7
162360 33.98 98157.40 47.26 38426.90 8
163110 34.02 98155.65 47.24 39167.69 9
163609 34.05 98156.66 47.22 39677.62 0
164109 33.98 98158.80 47.14 888117.94 1
165358 33.55 98157.83 47.13 764749.81 2
169607 33.43 98159.36 47.44 541226.19 3
170356 33.65 98158.18 47.51 108199.49 4
171106 33.79 98160.45 47.57 108405.67 5
171606 33.84 98161.27 47.56 107382.55 6
172356 33.92 98159.53 47.53 34316.36 7
173105 34.00 98156.78 47.59 35724.25 8
173855 34.05 98157.09 47.54 36488.03 9
174605 34.07 98158.23 47.53 36802.76 0
174855 34.00 98160.08 47.49 779596.50 1
176104 33.57 98160.84 47.39 667753.50 2
180353 33.45 98156.97 47.74 480300.19 3
181102 33.68 98157.05 47.84 98689.28 4
181852 33.80 98157.19 47.85 99610.90 5
182602 33.86 98157.53 47.86 98575.28 6
183102 33.93 98156.18 47.90 32193.16 7
183851 34.02 98154.05 47.83 33324.66 8
184601 34.07 98154.54 47.83 34206.31 9
185351 34.10 98156.53 47.80 34792.06 0
185601 34.02 98157.47 47.76 694237.31 1
186850 33.58 98160.13 47.69 601821.94 2
191099 33.46 98164.20 47.96 435004.25 3
191848 33.69 98165.96 48.07 89887.64 4
192598 33.82 98167.55 48.12 90747.96 5
193348 33.88 98167.79 48.12 89793.05 6
193847 33.96 98165.45 48.10 30295.86 7
194597 34.04 98161.33 48.08 31597.14 8
195347 34.09 98158.45 48.10 32462.59 9
196097 34.11 98156.86 48.00 32837.35 0
196347 34.04 98161.03 47.99 625534.50 1
197846 33.59 98160.24 47.93 543813.06 2
201844 33.47 98163.12 48.20 396131.53 3
202594 33.71 98164.63 48.27 83879.42 4
203344 33.84 98163.69 48.34 85134.69 5
204093 33.89 98165.75 48.32 83961.95 6
204843 33.97 98163.84 48.30 28744.67 7
205343 34.05 98160.29 48.32 29829.88 8
206093 34.09 98158.54 48.28 30666.03 9
206842 34.12 98157.34 48.25 31250.00 0
207092 34.04 98159.17 48.18 569680.13 1
208591 33.61 98159.34 48.15 495643.75 2
212590 33.48 98152.89 48.39 354325.25 3
213339 33.72 98153.71 48.47 78696.59 4
214089 33.85 98154.32 48.53 79281.51 5
214839 33.90 98154.62 48.49 78624.08 6
215589 33.98 98151.77 48.46 27170.45 7
216089 34.06 98150.75 48.45 28571.43 8
216838 34.11 98149.50 48.42 29237.09 9
217588 34.13 98149.18 48.40 29643.35 0
217838 34.05 98149.14 48.34 519796.97 1
219337 33.62 98154.48 48.27 451399.59 2
223586 33.49 98153.63 48.51 327470.41 3
224085 33.72 98155.17 48.62 74116.97 4
224835 33.86 98155.66 48.65 74700.91 5
225585 33.91 98156.88 48.61 74245.94 6
226335 33.98 98152.62 48.61 26090.50 7
227084 34.07 98150.58 48.62 27118.64 8
227584 34.11 98151.20 48.56 27826.09 9
228334 34.14 98150.83 48.51 28100.99 0
228584 34.07 98152.19 48.46 481655.69 1
230083 33.63 98154.10 48.42 422355.13 2
234331 33.50 98155.33 48.64 304399.53 3
234831 33.73 98156.35 48.70 70041.04 4
235581 33.86 98154.63 48.76 70041.04 5
236331 33.91 98154.86 48.74 69754.77 6
237080 33.99 98151.80 48.75 24786.99 7
237830 34.08 98150.96 48.69 25963.49 8
