=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.12.06 14:36:37 =~=~=~=~=~=~=~=~=~=~=~=
7567502 29.74 100018.22 18.02 102400000.00 3
7568002 29.97 100023.46 18.04 5514641.50 4
7568751 30.10 100028.40 18.04 5384160.50 5
7569501 30.14 100033.49 18.05 5254650.50 6
7570251 30.22 100035.84 17.97 511616.28 7
7570751 30.31 100041.53 17.99 525802.31 8
7571500 30.35 100045.37 17.96 542948.06 9
7572250 30.38 100049.72 17.99 552617.38 0
7572500 30.30 100049.38 17.97 102400000.00 1
7573999 29.86 100059.45 17.89 102400000.00 2
7578248 29.75 100085.05 17.82 102400000.00 3
7578748 29.97 100092.68 17.87 5416198.50 4
7579497 30.09 100095.48 17.85 5295410.50 5
7580247 30.13 100098.08 17.85 5174984.00 6
7580997 30.21 100101.58 17.85 505928.84 7
7581747 30.30 100103.73 17.86 526207.63 8
7582246 30.35 100107.74 17.81 534028.69 9
7582996 30.36 100110.25 17.79 547300.94 0
7583246 30.29 100115.02 17.75 102400000.00 1
7584746 29.86 100119.75 17.67 102400000.00 2
7588994 29.74 100150.06 17.66 102400000.00 3
7589494 29.95 100151.63 17.67 5347258.50 4
7590243 30.08 100156.67 17.67 5249599.50 5
7590993 30.12 100161.19 17.67 5116802.00 6
7591743 30.20 100164.52 17.66 499268.66 7
7592492 30.29 100167.84 17.65 521783.44 8
7592992 30.33 100169.27 17.66 532778.38 9
7593742 30.36 100174.54 17.59 541226.19 0
7593992 30.27 100174.40 17.59 102400000.00 1
7595491 29.85 100183.80 17.50 102400000.00 2
7599739 29.73 100207.12 17.50 102400000.00 3
7600239 29.94 100209.39 17.49 5274951.50 4
7600989 30.07 100210.88 17.51 5170085.00 5
7601739 30.11 100214.39 17.50 5092943.50 6
7602488 30.20 100219.12 17.47 497087.38 7
7603238 30.28 100222.37 17.46 515869.03 8
7603738 30.32 100226.94 17.45 534028.69 9
7604488 30.35 100230.68 17.42 545115.81 0
7604738 30.27 100232.28 17.39 102400000.00 1
7606237 29.84 100236.63 17.30 102400000.00 2
7610485 29.71 100259.80 17.30 102400000.00 3
7610985 29.93 100264.30 17.32 5300550.00 4
7611735 30.05 100266.87 17.32 5165195.50 5
7612484 30.10 100270.88 17.32 5045888.50 6
7613234 30.18 100271.96 17.33 494925.09 7
7613984 30.27 100274.23 17.26 515090.53 8
7614484 30.30 100279.88 17.27 524993.56 9
7615234 30.33 100282.34 17.27 536125.63 0
7615484 30.25 100285.11 17.24 102400000.00 1
7616983 29.82 100288.44 17.18 102400000.00 2
7621231 29.70 100312.87 17.16 102160560.00 3
7621981 29.91 100313.94 17.15 5214513.00 4
7622481 30.04 100319.48 17.16 5174984.00 5
7623230 30.09 100321.48 17.14 5013464.00 6
7623980 30.16 100324.69 17.14 494566.53 7
7624730 30.25 100330.80 17.15 510468.59 8
7625480 30.30 100332.11 17.13 522982.63 9
7625979 30.32 100335.88 17.12 531120.31 0
7626229 30.24 100335.73 17.11 102400000.00 1
7627729 29.80 100340.66 17.00 102400000.00 2
7631977 29.69 100362.53 16.98 100863408.00 3
7632727 29.90 100365.56 17.03 5184810.00 4
7633227 30.04 100370.72 17.03 5092943.50 5
7633976 30.07 100371.17 17.02 4976913.50 6
7634726 30.15 100374.91 16.99 484733.72 7
7635476 30.24 100378.70 17.01 508188.59 8
7636226 30.28 100380.88 16.95 519006.59 9
7636725 30.30 100383.89 16.93 529062.25 0
7636975 30.23 100386.00 16.94 102400000.00 1
7638475 29.79 100392.60 16.86 102400000.00 2
7642723 29.68 100416.25 16.84 100747120.00 3
7643473 29.89 100416.67 16.85 5121600.50 4
7643972 30.02 100418.52 16.86 5031941.00 5
7644722 30.06 100422.27 16.82 4940892.50 6
7645472 30.14 100423.30 16.84 487851.34 7
7646222 30.22 100426.78 16.85 508188.59 8
7646971 30.26 100429.70 16.81 514314.41 9
7647471 30.29 100433.93 16.81 527427.25 0
7647971 30.21 100433.04 16.76 102400000.00 1
7649220 29.77 100439.73 16.72 102400000.00 2
7653469 29.66 100460.81 16.67 98365480.00 3
7654218 29.87 100463.38 16.72 5136050.00 4
7654718 30.00 100467.38 16.70 5059913.50 5
7655468 30.04 100472.54 16.71 4954339.50 6
7656218 30.13 100473.30 16.69 486460.81 7
7656967 30.21 100477.63 16.68 503689.13 8
7657717 30.25 100479.07 16.67 517433.06 9
7658217 30.28 100482.80 16.67 523383.59 0
7658717 30.20 100482.17 16.64 102400000.00 1
7659966 29.76 100486.81 16.51 102400000.00 2
7664214 29.64 100507.20 16.53 99146744.00 3
7664964 29.86 100509.30 16.55 5107232.00 4
7665714 29.98 100510.88 16.56 5022685.50 5
7666214 30.03 100514.91 16.55 4900987.00 6
7666963 30.11 100517.75 16.53 479625.28 7
7667713 30.19 100518.77 16.53 501469.16 8
7668463 30.23 100520.18 16.50 512769.16 9
7668963 30.26 100523.88 16.48 524993.56 0
7669462 30.18 100524.93 16.50 102400000.00 1
7670712 29.74 100530.36 16.41 102400000.00 2
7674960 29.63 100549.99 16.38 98587440.00 3
7675710 29.84 100551.72 16.41 5083462.50 4
7676460 29.96 100555.59 16.41 4936426.50 5
7676960 30.01 100557.80 16.40 4857397.00 6
7677709 30.09 100559.45 16.42 479625.28 7
7678459 30.17 100561.05 16.40 497812.34 8
7679209 30.22 100563.01 16.39 513154.59 9
7679958 30.24 100566.37 16.35 520987.03 0
7680208 30.16 100568.63 16.36 102400000.00 1
7681458 29.73 100571.50 16.28 102400000.00 2
7685706 29.61 100587.21 16.27 97270504.00 3
7686456 29.82 100590.84 16.26 5059913.50 4
7687205 29.95 100594.95 16.27 4900987.00 5
7687705 30.00 100597.05 16.26 4844470.50 6
7688455 30.07 100597.73 16.25 477611.94 7
7689205 30.16 100601.84 16.27 496725.69 8
7689954 30.20 100604.61 16.22 504806.50 9
7690704 30.23 100604.78 16.24 520193.03 0
7690954 30.15 100606.53 16.21 102400000.00 1
7692204 29.72 100609.98 16.13 102400000.00 2
7696452 29.59 100624.71 16.10 98254872.00 3
7697202 29.80 100626.30 16.16 5008866.00 4
7697951 29.93 100631.98 16.14 4936426.50 5
7698451 29.98 100635.14 16.15 4806101.50 6
7699201 30.05 100635.24 16.11 475947.00 7
7699951 30.14 100638.35 16.10 493493.97 8
7700700 30.18 100640.14 16.10 507056.19 9
7701450 30.21 100643.45 16.10 517433.06 0
7701700 30.13 100644.05 16.08 102400000.00 1
7702949 29.70 100645.26 16.03 102400000.00 2
7707198 29.57 100661.34 15.99 96732104.00 3
7707947 29.79 100663.46 16.03 5050555.00 4
7708697 29.91 100666.38 15.99 4936426.50 5
7709197 29.97 100668.76 16.03 4793446.50 6
7709947 30.04 100669.89 16.02 473635.53 7
7710696 30.13 100673.71 16.03 493493.97 8
7711446 30.17 100674.90 16.00 507433.09 9
7712196 30.19 100677.07 15.95 517041.16 0
7712446 30.11 100677.39 15.96 102400000.00 1
7713695 29.68 100678.10 15.89 102400000.00 2
7717943 29.56 100691.88 15.86 95568352.00 3
7718693 29.77 100692.48 15.89 4995122.00 4
7719443 29.90 100696.02 15.89 4861721.00 5
7720192 29.95 100697.34 15.88 4818823.50 6
7720692 30.03 100700.24 15.89 471672.03 7
7721442 30.11 100699.91 15.88 492071.13 8
7722192 30.15 100703.58 15.85 506304.09 9
7722941 30.18 100703.18 15.88 515869.03 0
7723191 30.10 100702.16 15.85 102400000.00 1
7724441 29.67 100706.72 15.76 102400000.00 2
7728689 29.55 100723.30 15.75 97487544.00 3
7729439 29.76 100722.09 15.79 5036581.50 4
7730189 29.89 100723.35 15.80 4963344.50 5
7730938 29.93 100726.16 15.78 4831613.00 6
7731438 30.01 100728.12 15.76 474293.66 7
7732188 30.10 100730.11 15.78 493493.97 8
7732937 30.14 100729.89 15.77 503317.78 9
7733687 30.16 100731.52 15.73 513154.59 0
7733937 30.09 100732.64 15.74 102400000.00 1
7735187 29.65 100738.58 15.65 102400000.00 2
7739435 29.53 100750.98 15.65 95152088.00 3
7740185 29.74 100751.02 15.67 4940892.50 4
7740934 29.87 100751.23 15.67 4887828.00 5
7741684 29.92 100752.77 15.64 4760023.00 6
7742184 30.00 100754.23 15.69 471672.03 7
7742933 30.09 100756.08 15.63 489600.75 8
7743683 30.12 100756.95 15.66 503317.78 9
7744433 30.15 100760.03 15.66 510850.59 0
7744683 30.07 100761.77 15.60 102400000.00 1
7746182 29.65 100766.52 15.55 102400000.00 2
7750181 29.52 100777.27 15.53 94945312.00 3
7750930 29.73 100779.84 15.54 4990557.50 4
7751680 29.86 100781.09 15.53 4892206.50 5
7752430 29.90 100782.32 15.54 4764175.50 6
7752930 29.99 100782.73 15.55 468757.16 7
7753679 30.07 100783.78 15.55 488899.50 8
7754429 30.11 100784.20 15.49 501101.06 9
7755179 30.14 100785.55 15.51 508567.16 0
7755429 30.07 100788.99 15.50 102400000.00 1
7756928 29.63 100790.85 15.43 102400000.00 2
7760927 29.50 100800.99 15.40 94842256.00 3
7761676 29.71 100802.98 15.47 4954339.50 4
7762426 29.85 100805.67 15.44 4861721.00 5
7763176 29.89 100805.77 15.46 4731158.00 6
7763926 29.97 100807.22 15.46 468114.28 7
7764425 30.06 100809.72 15.43 485078.16 8
7765175 30.10 100810.87 15.43 500000.00 9
7765925 30.12 100811.41 15.41 507056.19 0
7766175 30.05 100813.19 15.41 102400000.00 1
7767674 29.62 100815.72 15.32 102400000.00 2
7771673 29.49 100826.12 15.31 95048584.00 3
7772422 29.70 100825.18 15.36 4976913.50 4
7773172 29.83 100827.15 15.33 4831613.00 5
7773922 29.88 100829.16 15.33 4743486.00 6
7774672 29.95 100828.69 15.33 469079.25 7
7775171 30.04 100830.68 15.35 480300.19 8
7775921 30.08 100831.23 15.32 496364.53 9
7776671 30.11 100832.68 15.30 504433.50 0
7776921 30.03 100832.02 15.30 102400000.00 1
7778420 29.61 100838.00 15.22 102400000.00 2
7782419 29.48 100845.24 15.22 94534440.00 3
7783168 29.68 100845.98 15.24 4927519.00 4
7783918 29.82 100847.37 15.25 4857397.00 5
7784668 29.86 100847.37 15.23 4751740.00 6
7785418 29.95 100849.93 15.22 466514.81 7
7785917 30.03 100849.87 15.25 484389.78 8
7786667 30.08 100852.27 15.21 496003.88 9
7787417 30.10 100853.05 15.20 513154.59 0
7787667 30.02 100853.29 15.17 102400000.00 1
7789166 29.59 100856.17 15.13 102400000.00 2
7793164 29.46 100864.53 15.11 93723272.00 3
7793914 29.68 100865.13 15.12 4887828.00 4
7794664 29.80 100868.92 15.13 4835891.50 5
7795414 29.85 100867.95 15.12 4710753.50 6
7796163 29.94 100868.42 15.10 461781.28 7
7796663 30.02 100869.74 15.13 484046.31 8
7797413 30.06 100869.95 15.14 496725.69 9
7798163 30.08 100870.65 15.12 504061.03 0
7798413 30.01 100870.96 15.10 102400000.00 1
7799912 29.59 100874.48 15.03 102400000.00 2
7804160 29.45 100880.95 15.00 94842256.00 3
7804660 29.67 100882.55 15.02 4892206.50 4
7805410 29.79 100884.25 15.04 4780858.00 5
7806160 29.84 100886.10 15.04 4670467.50 6
7806909 29.92 100888.30 15.05 462406.88 7
7807659 30.01 100887.62 15.06 479288.56 8
7808159 30.05 100888.04 15.04 492781.53 9
7808909 30.08 100887.59 14.96 503689.13 0
7809159 30.00 100890.11 14.98 102400000.00 1
7810658 29.57 100889.05 14.91 101566832.00 2
7814906 29.44 100895.20 14.92 91754984.00 3
7815406 29.65 100894.60 14.94 4870392.50 4
7816156 29.78 100897.94 14.94 4793446.50 5
7816905 29.83 100900.36 14.96 4694556.00 6
7817655 29.91 100899.80 14.95 461469.13 7
7818405 30.00 100902.02 14.92 481995.75 8
7818905 30.04 100902.05 14.89 494208.50 9
7819654 30.06 100903.23 14.92 502946.97 0
7819904 29.98 100903.32 14.88 102400000.00 1
7821404 29.55 100903.92 14.86 102400000.00 2
7825652 29.43 100910.85 14.82 93223328.00 3
7826152 29.64 100910.66 14.83 4892206.50 4
7826901 29.77 100910.23 14.86 4793446.50 5
7827651 29.82 100911.79 14.85 4646625.00 6
7828401 29.89 100913.71 14.86 464293.81 7
7829151 29.98 100915.50 14.86 478281.19 8
7829651 30.03 100915.54 14.82 494208.50 9
7830400 30.05 100916.65 14.82 499268.66 0
7830650 29.97 100916.12 14.80 102400000.00 1
7832150 29.55 100919.04 14.74 102400000.00 2
7836398 29.41 100922.00 14.74 94330336.00 3
7836898 29.63 100922.61 14.74 4892206.50 4
7837647 29.75 100921.94 14.76 4789243.00 5
7838397 29.80 100924.37 14.76 4674465.00 6
7839147 29.89 100924.62 14.76 459605.03 7
7839897 29.97 100926.34 14.76 480300.19 8
7840397 30.01 100925.65 14.74 491362.75 9
7841146 30.04 100926.65 14.75 500366.47 0
7841396 29.96 100926.26 14.74 102400000.00 1
7842895 29.54 100929.30 14.64 101922240.00 2
7847144 29.40 100932.13 14.63 93422664.00 3
7847893 29.61 100933.34 14.67 4806101.50 4
7848393 29.74 100934.15 14.65 4793446.50 5
7849143 29.79 100935.35 14.68 4654545.50 6
7849893 29.86 100934.28 14.65 460224.72 7
7850643 29.96 100935.48 14.66 483360.88 8
7851142 30.01 100937.20 14.68 500000.00 9
7851892 30.02 100936.21 14.68 502576.69 0
7852142 29.95 100937.28 14.63 102400000.00 1
7853641 29.52 100938.66 14.57 102400000.00 2
7857890 29.39 100942.57 14.56 93422664.00 3
7858639 29.60 100941.48 14.59 4870392.50 4
7859139 29.73 100941.53 14.59 4797657.50 5
7859889 29.78 100943.18 14.57 4670467.50 6
7860638 29.86 100944.11 14.57 462093.88 7
7861388 29.95 100944.52 14.59 477946.31 8
7862138 29.99 100944.69 14.58 490304.03 9
7862638 30.01 100944.84 14.55 500366.47 0
7862888 29.94 100945.51 14.55 102400000.00 1
7864387 29.52 100947.26 14.48 102400000.00 2
7868635 29.39 100950.63 14.49 94330336.00 3
7869385 29.59 100950.03 14.52 4866053.00 4
7869885 29.71 100950.63 14.51 4785046.50 5
7870635 29.76 100951.05 14.50 4686499.00 6
7871384 29.84 100951.64 14.51 457449.19 7
7872134 29.94 100953.62 14.49 481655.69 8
7872884 29.98 100954.45 14.48 487502.97 9
7873383 30.01 100953.59 14.48 497812.34 0
7873633 29.92 100953.32 14.48 102400000.00 1
7875133 29.50 100955.87 14.39 101685024.00 2
7879381 29.38 100958.94 14.41 94636824.00 3
7880131 29.58 100957.49 14.42 4883457.50 4
7880631 29.71 100959.91 14.45 4785046.50 5
7881380 29.76 100960.05 14.44 4658516.00 6
7882130 29.84 100959.59 14.43 456226.34 7
7882880 29.92 100957.38 14.41 477946.31 8
7883630 29.98 100959.29 14.43 488200.25 9
7884129 30.00 100958.02 14.43 502946.97 0
7884629 29.92 100956.07 14.41 102400000.00 1
7885879 29.49 100960.22 14.34 100979968.00 2
7890127 29.37 100965.63 14.34 92239272.00 3
7890877 29.58 100964.22 14.35 4831613.00 4
7891376 29.70 100966.48 14.35 4755878.00 5
7892126 29.75 100965.82 14.35 4666477.00 6
7892876 29.83 100965.95 14.33 457755.94 7
7893626 29.92 100967.30 14.34 476279.06 8
7894375 29.96 100967.60 14.36 491362.75 9
7894875 29.99 100967.67 14.33 496725.69 0
7895375 29.91 100967.54 14.33 102400000.00 1
7896625 29.48 100966.92 14.25 102400000.00 2
7900873 29.36 100968.91 14.21 93223328.00 3
7901623 29.57 100967.95 14.28 4870392.50 4
7902372 29.69 100968.95 14.27 4760023.00 5
7902872 29.74 100970.09 14.28 4642675.00 6
7903622 29.82 100969.63 14.29 461469.13 7
7904372 29.91 100968.81 14.26 471346.38 8
7905122 29.96 100969.90 14.26 486114.41 9
7905871 29.98 100968.80 14.26 503317.78 0
