=~=~=~=~=~=~=~=~=~=~=~= KiTTY log 2024.12.06 15:53:47 =~=~=~=~=~=~=~=~=~=~=~=
555169 28.58 101163.02 16.83 451101.31 4
555919 28.69 101167.22 16.80 447846.06 5
556668 28.74 101173.06 16.80 442332.63 6
558168 28.90 101182.92 16.76 72112.68 8
558668 28.94 101186.20 16.73 72051.79 9
559667 28.91 101192.41 16.68 3913999.00 1
561167 28.53 101197.59 16.59 3837002.25 2
561167 28.53 101197.59 16.59 3837002.25 2
561167 28.53 101197.59 16.59 3837002.25 2
561167 28.53 101197.59 16.59 3837002.25 2
565415 28.42 101224.35 16.48 3757798.25 3
565915 28.62 101226.06 16.48 438074.88 4
566665 28.74 101230.67 16.47 433898.31 5
568164 28.85 101238.20 16.43 70041.04 7
568664 28.93 101242.12 16.38 70679.18 8
570163 29.00 101247.34 16.38 70679.18 0
570413 28.95 101250.38 16.38 3739785.50 1
571912 28.57 101257.75 16.28 3647373.00 2
571912 28.57 101257.75 16.28 3647373.00 2
571912 28.57 101257.75 16.28 3647373.00 2
575911 28.46 101274.49 16.14 3557099.50 3
576661 28.64 101278.34 16.14 424455.97 4
577410 28.77 101284.24 16.16 421572.66 5
578160 28.82 101286.09 16.12 418728.28 6
579410 28.97 101293.12 16.10 69357.90 8
580159 29.01 101291.23 16.07 69357.90 9
581159 28.97 101295.95 16.02 3545553.00 1
582658 28.59 101298.70 15.94 3460190.00 2
582658 28.59 101298.70 15.94 3460190.00 2
582658 28.59 101298.70 15.94 3460190.00 2
582658 28.59 101298.70 15.94 3460190.00 2
586657 28.49 101314.92 15.80 3380932.75 3
587406 28.68 101318.27 15.86 411658.28 4
588156 28.80 101320.95 15.83 407481.09 5
588906 28.84 101323.38 15.82 406510.53 6
590155 28.99 101326.44 15.79 67814.57 8
590905 29.04 101329.86 15.77 68467.51 9
591905 29.01 101331.49 15.74 3425465.25 1
593404 28.63 101333.23 15.65 3331435.50 2
593404 28.63 101333.23 15.65 3331435.50 2
593404 28.63 101333.23 15.65 3331435.50 2
597402 28.51 101338.54 15.54 3230921.00 3
598152 28.70 101341.86 15.54 400782.78 4
598902 28.82 101346.62 15.55 400782.78 5
599651 28.86 101346.91 15.55 394073.50 6
600151 28.93 101348.16 15.50 66545.36 7
600901 29.02 101349.54 15.51 66963.12 8
602401 29.09 101350.58 15.45 67492.75 0
602651 29.03 101353.20 15.43 3309230.50 1
603900 28.65 101352.09 15.36 3210031.25 2
603900 28.65 101352.09 15.36 3210031.25 2
603900 28.65 101352.09 15.36 3210031.25 2
608148 28.54 101356.62 15.25 3152588.00 3
608898 28.73 101361.70 15.26 390690.56 4
609648 28.84 101364.15 15.26 386706.94 5
610397 28.89 101364.73 15.26 384962.41 6
610897 28.95 101366.39 15.23 65573.77 7
612396 29.09 101365.47 15.21 65877.51 9
613396 29.05 101366.77 15.16 3183832.00 1
614645 28.67 101366.48 15.07 3098922.00 2
614645 28.67 101366.48 15.07 3098922.00 2
614645 28.67 101366.48 15.07 3098922.00 2
614645 28.67 101366.48 15.07 3098922.00 2
618894 28.55 101368.77 14.98 2973502.75 3
619643 28.75 101370.34 14.99 383018.50 4
620393 28.86 101372.34 14.98 379399.78 5
620893 28.91 101372.57 14.97 376470.59 6
622392 29.05 101371.16 14.95 64925.18 8
623142 29.10 101370.15 14.93 65173.12 9
624142 29.07 101371.39 14.90 3111280.00 1
625391 28.69 101369.80 14.83 2986511.00 2
625391 28.69 101369.80 14.83 2986511.00 2
625391 28.69 101369.80 14.83 2986511.00 2
625391 28.69 101369.80 14.83 2986511.00 2
629639 28.57 101371.48 14.72 2907026.25 3
630389 28.76 101372.84 14.73 375229.03 4
631139 28.88 101373.25 14.74 366499.66 5
