created_at,Acetone,Ambient,Ethyl Acetate,Ethanol,Accuracy
2024-11-30T06:04:07Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:04:23Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:04:39Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:04:55Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:05:11Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:05:26Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:05:42Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:05:57Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:06:13Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:06:29Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:06:45Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:07:01Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:07:16Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:07:32Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:07:48Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:08:04Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:08:19Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:08:35Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:08:51Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:09:07Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:09:23Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:09:39Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:09:55Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:10:10Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:10:26Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:10:42Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:10:58Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:11:14Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:11:30Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:11:46Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:12:02Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:12:18Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:12:34Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:12:50Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:13:06Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:13:21Z,0.0,100.0,0.0,0.0,3.0
2024-11-30T06:13:36Z,0.0,100.0,0.0,0.0,3.0
